Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Month,DayOfWeek,Cluster,Anomaly,Cluster_DBSCAN
,Unknown,Working Day,No Info,6:55am,Karachi,24.9918,66.9911,Sindh,Sachal Rangers' Headquarters-North Nazimabad Block B Area,Military,High,Open,None,Military,None,0.0,3.0,18.0,23,1.0,100kg-150kg,Abbasi Shaheed Hospital-Sindh Rangers Hospital-PNS Shifa Hospital,25.995,78.791,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Mohmand Agency ,32.9746,70.1456,FATA,Ghaiba Khwar Area of Haleemzai Tehsil,Mobile,Low,Open,None,Government Official,None,0.0,0.0,3.0,4,1.0,0 Kg,Ghallanai Headquarter Hospital,7.52,45.536,,,,2,1,-1
,Unknown,Working Day,No Info,6:15pm,Karachi,24.9918,66.9911,Sindh,Orangi Town Sec-5E-Near Haider-e-Qarrar Imambargah,Religious,High,Open,Muharram Procession,Religious,Shiite,3.0,4.0,4.0,7,1.0,4kg-5kg,Qatar Hospital-Abbasi Shaheed Hospital,22.22,71.996,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Rawalpindi,33.6058,73.0437,Punjab,Imambargah Qasar-e-Shabbir in Dhok Syedan-Misrial Road,Religious,High,Open,Muharram Procession,Religious,Shiite,12.0,20.0,25.0,40,1.0,0 Kg,DHQ-Combined Military-Benazir Bhutto Hospital,16.795,62.231,,,,4,1,-1
,Unknown,Holiday,Ashura,Unknown,D.I Khan,31.8238,70.9095,KPK,Commissionary Bazaar-Choglia Area,Market,High,Open,Muharram Procession,religious,Shiite,5.0,6.0,70.0,80,1.0,12kg,District Headquarter Teaching Hospital-Combined Military Hospital,12.21,53.978,,,,4,1,-1
,Unknown,Working Day,No Info,Unknown,South Waziristan,32.3202,69.8597,FATA,Rustam Bazaar,Mobile,Low,Open,None,Anti-Militants,None,5.0,8.0,10.0,18,1.0,0 Kg,Tehsil Headquarter Hospital Wana,3.895,39.011,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Haved Police Station Bannu,Police,High,Open,None,Police,None,0.0,15.253138075313808,6.0,10,1.0,600kg-800kg,DHQ Hospital Bannu,15.435,59.783,,,,2,1,-1
,Unknown,Working Day,No Info,6:30AM,South waziristan,32.3202,69.8597,FATA,Zaree Noor Camp-Angoor Adda Rd,Military,High,Open,None,Military,None,2.0,3.0,20.0,25,1.0,0 Kg,First Treatment Hospital,7.1,44.78,,,,2,1,-1
,Unknown,Holiday,Weekend,Unknown,Peshawar,34.0043,71.5448,KPK,Dhaki Nalbandi Area-Qissa Khwani Bazar,Residence,High,Closed,None,Government Official,None,0.0,9.0,17.0,20,1.0,4kg-6kg,Lady Reading Hospital,15.065,59.117,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,Two suicide bombers blew themselves up at a crowded snooker club on Alamdar Road,Market,High,Closed,None,Civilian,Shiite,51.0,93.0,116.0,121,2.0,0 Kg,Civil Hospital and the Combined Military Hospital-Quetta,9.06,48.308,,,,1,-1,-1
,Unknown,Working Day,No Info,Friday prayer time,Hangu,33.5351,71.0713,KPK,Masjid Faizullah and Masjid Purdil near Marketplace,Religious,High,Open,Possibley anti-taliban Sunni Council,Civilian,Sunni,24.0,27.0,40.0,50,1.0,0 Kg,DHQ-Kohat,10.79,51.422,,,,4,1,-1
,Unknown,Working Day,No Info,Unknown,Hangu,33.5351,71.0713,KPK,Security checkpost located in Tal area of Hangu ,Military,High,Open,FC check post,Military,None,7.0,15.253138075313808,8.0,23,1.0,0 Kg,Unknown,12.12,53.816,,,,2,1,-1
,Unknown,Working Day,No Info,Unknown,Bannu,32.935,70.6688,KPK,Maryan police station in Frontier Region Bannu,Police,High,Open,TTP avenged killing of their fighters in custody and bodies thrown in Miramshah,Police,None,0.0,0.0,1.0,0,4.0,0 Kg,Unknown,8.31,46.958,,,,2,1,-1
,Unknown,Working Day,Weekend,6:00pm,Quetta,30.2095,67.0182,Baluchistan,Kirani Road near Hazara Town,Market,Medium,Open,None,Civilian,Shiite,64.0,84.0,180.0,200,1.0,1000kg,Civil Hospital and the Combined Military Hospital,5.49,41.882,,,,3,-1,-1
,Unknown,Working Day,No Info,Unknown,Peshawar,34.0043,71.5448,KPK,Khyber Agency's Political Agent Office in Peshawar,Office Building,High,Closed,None,Government Official,None,5.0,15.253138075313808,7.0,0,2.0,6kg,Lady Reading Hospital,15.55,59.99,,,,2,1,-1
